index,negativeword,rattcounter,kibucounter
541,caustic,0,0
542,caustically,0,0
543,cautionary,0,0
544,cave,0,0
545,censure,0,0
546,chafe,0,0
547,chaff,0,0
548,chagrin,0,0
549,challenging,0,0
550,chaos,0,0
551,chaotic,0,0
552,chasten,0,0
553,chastise,0,0
554,chastisement,0,0
555,chatter,0,0
556,chatterbox,0,0
557,cheap,0,0
558,cheapen,0,0
559,cheaply,0,0
560,cheat,0,0
561,cheated,0,0
562,cheater,0,0
563,cheating,0,0
564,cheats,0,0
565,checkered,0,0
566,cheerless,0,0
567,cheesy,0,0
568,chide,0,0
569,childish,0,0
570,chill,0,0
571,chilly,0,0
572,chintzy,0,0
573,choke,0,0
574,choleric,0,0
575,choppy,0,0
576,chore,0,0
577,chronic,0,0
578,chunky,0,0
579,clamor,0,0
580,clamorous,0,0
581,clash,0,0
582,cliche,0,0
583,cliched,0,0
584,clique,0,0
585,clog,0,0
586,clogged,0,0
587,clogs,0,0
588,cloud,0,0
589,clouding,0,0
590,cloudy,0,0
591,clueless,0,0
592,clumsy,0,0
593,clunky,0,0
594,coarse,0,0
595,cocky,0,0
596,coerce,0,0
597,coercion,0,0
598,coercive,0,0
599,cold,0,0
600,coldly,0,0
601,collapse,0,0
602,collude,0,0
603,collusion,0,0
604,combative,0,0
605,combust,0,0
606,comical,0,0
607,commiserate,0,0
608,commonplace,0,0
609,commotion,0,0
610,commotions,0,0
611,complacent,0,0
612,complain,0,0
613,complained,0,0
614,complaining,0,0
615,complains,0,0
616,complaint,0,0
617,complaints,0,0
618,complex,0,0
619,complicated,0,0
620,complication,0,0
621,complicit,0,0
622,compulsion,0,0
623,compulsive,0,0
624,concede,0,0
625,conceded,0,0
626,conceit,0,0
627,conceited,0,0
628,concen,0,0
629,concens,0,0
630,concern,0,0
631,concerned,0,0
632,concerns,0,0
633,concession,0,0
634,concessions,0,0
635,condemn,0,0
636,condemnable,0,0
637,condemnation,0,0
638,condemned,0,0
639,condemns,0,0
640,condescend,0,0
641,condescending,0,0
642,condescendingly,0,0
643,condescension,0,0
644,confess,0,0
645,confession,0,0
646,confessions,0,0
647,confined,0,0
648,conflict,0,0
649,conflicted,0,0
650,conflicting,0,0
651,conflicts,0,0
652,confound,0,0
653,confounded,0,0
654,confounding,0,0
655,confront,0,0
656,confrontation,0,0
657,confrontational,0,0
658,confuse,0,0
659,confused,0,0
660,confuses,0,0
661,confusing,0,0
662,confusion,0,0
663,confusions,0,0
664,congested,0,0
665,congestion,0,0
666,cons,0,0
667,conscons,0,0
668,conservative,0,0
669,conspicuous,0,0
670,conspicuously,0,0
671,conspiracies,0,0
672,conspiracy,0,0
673,conspirator,0,0
674,conspiratorial,0,0
675,conspire,0,0
676,consternation,0,0
677,contagious,0,0
678,contaminate,0,0
679,contaminated,0,0
680,contaminates,0,0
681,contaminating,0,0
682,contamination,0,0
683,contempt,0,0
684,contemptible,0,0
685,contemptuous,0,0
686,contemptuously,0,0
687,contend,0,0
688,contention,0,0
689,contentious,0,0
690,contort,0,0
691,contortions,0,0
692,contradict,0,0
693,contradiction,0,0
694,contradictory,0,0
695,contrariness,0,0
696,contravene,0,0
697,contrive,0,0
698,contrived,0,0
699,controversial,0,0
700,controversy,0,0
701,convoluted,0,0
702,corrode,0,0
703,corrosion,0,0
704,corrosions,0,0
705,corrosive,0,0
706,corrupt,0,0
707,corrupted,0,0
708,corrupting,0,0
709,corruption,0,0
710,corrupts,0,0
711,corruptted,0,0
712,costlier,0,0
713,costly,0,0
714,counter-productive,0,0
715,counterproductive,0,0
716,coupists,0,0
717,covetous,0,0
718,coward,0,0
719,cowardly,0,0
720,crabby,0,0
721,crack,0,0
722,cracked,0,0
723,cracks,0,0
724,craftily,0,0
725,craftly,0,0
726,crafty,0,0
727,cramp,0,0
